"timestamp","name","type","value","date"
"2019-08-24 18:36:17.000","rewards.agoda.com","cname","citi-hk.hitrewards.com","201908"
"2019-08-24 20:01:43.000","tmapi.agoda.com","a","103.6.182.20","201908"
"2019-08-24 13:13:26.000","mta-sts.mail1bkk.agoda.com","a","103.6.182.20","201908"
"2019-08-24 13:14:11.000","mta-sts.mail2bkk.agoda.com","a","103.6.182.20","201908"
"2019-08-24 13:24:58.000","mta-sts.smtp1.agoda.com","a","103.6.182.20","201908"
"2019-08-24 19:57:12.000","tracking.agoda.com","a","202.94.90.81","201908"
"2019-08-24 19:57:57.000","trafficbanner.agoda.com","a","203.160.137.30","201908"
"2019-08-24 19:35:30.000","swipeapi.agoda.com","cname","bookapi.agoda.com","201908"
"2019-08-24 04:41:34.000","be3.agoda.com","a","103.6.182.20","201908"
"2019-08-24 20:25:25.000","vpn.agoda.com","a","203.160.137.140","201908"
"2019-08-24 22:47:54.000","www2.agoda.com","a","103.6.182.20","201908"
"2019-08-24 22:46:46.000","www1.agoda.com","a","103.6.182.20","201908"
"2019-08-24 22:51:07.000","www4.agoda.com","a","203.160.137.142","201908"
"2019-08-24 22:52:31.000","wwww.agoda.com","a","103.6.182.20","201908"
"2019-08-24 18:53:33.000","sga.partners.agoda.com","cname","hkg.www.agoda.com","201908"
"2019-08-24 19:12:39.000","sgp.secure.agoda.com","a","45.113.60.24","201908"
"2019-08-24 10:17:15.000","iframe.agoda.com","a","103.6.182.20","201908"
"2019-08-24 03:33:15.000","adfs.agoda.com","a","103.6.182.167","201908"
"2019-08-24 07:05:41.000","demo.agoda.com","a","103.6.182.20","201908"
"2019-08-24 16:08:41.000","my.agoda.com","cname","my.agoda.com.edgekey.net","201908"
"2019-08-24 11:27:08.000","learn.agoda.com","cname","learn-agoda-com.absorbtraining.com","201908"
"2019-08-24 04:59:30.000","www.agoda.com","cname","www.agoda.com.edgekey.net","201908"
"2019-08-24 12:05:06.000","mail.agoda.com","a","103.6.182.20","201908"
"2019-08-24 04:25:33.000","webmail.agoda.com","a","45.113.60.111","201908"
