"2019-08-24 10:18:55.000","images.aafusercontent.com","cname","d1zhcing20pefw.cloudfront.net","201908"
"2019-08-24 08:28:34.000","files.platform.aafusercontent.com","a","13.33.147.196","201908"
"2019-08-24 08:28:34.000","files.platform.aafusercontent.com","a","13.33.147.207","201908"
"2019-08-24 08:28:34.000","files.platform.aafusercontent.com","a","13.33.147.48","201908"
"2019-08-24 08:28:34.000","files.platform.aafusercontent.com","a","13.33.147.73","201908"
