"2019-08-24 20:34:04.000","web.sol-data.com","cname","web.sol-data.com.cdn.cloudflare.net","201908"
"2019-08-24 10:57:49.000","js.sol-data.com","a","52.84.246.112","201908"
"2019-08-24 10:57:49.000","js.sol-data.com","a","52.84.246.115","201908"
"2019-08-24 10:57:49.000","js.sol-data.com","a","52.84.246.137","201908"
"2019-08-24 10:57:49.000","js.sol-data.com","a","52.84.246.208","201908"
